"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","64","68","7","0"
"05-09","76","74","4","0"
"10-14","100","105","4","0"
"15-19","167","155","5","0"
"20-24","264","283","10","0"
"25-29","267","278","18","0"
"30-34","235","245","22","0"
"35-39","214","203","11","1"
"40-44","203","194","19","0"
"45-49","200","218","27","3"
"50-54","288","279","36","0"
"55-59","254","284","53","6"
"60-64","170","166","49","8"
"65-69","101","111","55","10"
"70-74","96","87","56","18"
"75-79","125","96","102","27"
"80-84","123","116","112","37"
"85-89","80","43","59","26"
"90+","76","26","31","27"

"Datenstand 21.10.2020 22:11:30"
