"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","251","261","13","0"
"05-09","315","337","8","0"
"10-14","443","446","11","0"
"15-19","770","781","21","0"
"20-24","921","993","28","0"
"25-29","898","956","41","0"
"30-34","848","837","60","0"
"35-39","836","762","42","2"
"40-44","816","749","49","2"
"45-49","818","797","78","3"
"50-54","996","1.015","91","0"
"55-59","874","896","110","9"
"60-64","571","603","112","12"
"65-69","312","365","110","15"
"70-74","301","279","141","34"
"75-79","331","279","181","46"
"80-84","449","319","239","85"
"85-89","328","169","128","70"
"90+","384","93","101","74"

"Datenstand 23.12.2020 21:22:20"
