"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","752","748","42","1"
"05-09","939","997","20","0"
"10-14","1.010","1.181","23","0"
"15-19","1.433","1.490","41","0"
"20-24","1.738","1.799","88","0"
"25-29","1.585","1.616","97","0"
"30-34","1.537","1.703","120","2"
"35-39","1.475","1.526","135","2"
"40-44","1.509","1.374","153","1"
"45-49","1.414","1.291","157","3"
"50-54","1.524","1.602","207","15"
"55-59","1.446","1.473","252","22"
"60-64","891","1.026","245","25"
"65-69","508","591","231","42"
"70-74","506","508","294","75"
"75-79","529","473","357","121"
"80-84","818","534","511","224"
"85-89","652","319","339","198"
"90+","688","195","238","212"

"Datenstand 07.08.2021 18:45:28"
