"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","232","242","13","0"
"05-09","299","317","8","0"
"10-14","414","419","11","0"
"15-19","690","704","19","0"
"20-24","846","905","27","0"
"25-29","797","876","40","0"
"30-34","767","759","57","0"
"35-39","750","696","38","2"
"40-44","729","679","46","2"
"45-49","734","726","74","3"
"50-54","886","920","83","0"
"55-59","770","804","108","8"
"60-64","511","527","105","11"
"65-69","275","312","97","13"
"70-74","281","255","134","32"
"75-79","297","253","173","45"
"80-84","379","270","218","78"
"85-89","266","135","114","65"
"90+","308","78","88","63"

"Datenstand 18.12.2020 20:08:31"
