"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","1.081","1.145","57","1"
"05-09","1.658","1.731","32","0"
"10-14","1.879","2.082","39","0"
"15-19","2.039","2.151","57","0"
"20-24","2.331","2.464","122","0"
"25-29","2.175","2.232","159","0"
"30-34","2.165","2.364","183","3"
"35-39","2.067","2.074","199","4"
"40-44","2.060","1.903","196","4"
"45-49","1.869","1.733","191","4"
"50-54","1.964","2.055","273","18"
"55-59","1.772","1.818","310","25"
"60-64","1.110","1.269","292","28"
"65-69","647","731","272","50"
"70-74","608","609","342","85"
"75-79","640","557","410","131"
"80-84","937","628","583","238"
"85-89","757","360","374","212"
"90+","790","218","265","226"

"Datenstand 30.10.2021 19:13:08"
