"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","589","602","26","1"
"05-09","666","744","11","0"
"10-14","705","863","16","0"
"15-19","1.056","1.119","29","0"
"20-24","1.384","1.427","58","0"
"25-29","1.314","1.317","71","0"
"30-34","1.270","1.438","82","1"
"35-39","1.205","1.288","96","1"
"40-44","1.267","1.170","109","1"
"45-49","1.197","1.081","120","2"
"50-54","1.336","1.393","150","5"
"55-59","1.268","1.291","184","18"
"60-64","789","891","178","20"
"65-69","450","528","185","34"
"70-74","464","463","240","66"
"75-79","498","443","310","107"
"80-84","773","506","455","200"
"85-89","628","305","290","183"
"90+","665","188","204","194"

"Datenstand 05.05.2021 19:16:10"
