"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.966,76","6.217","+4","658","","223",""
"Segeberg","SE","1.559,30","4.322","+1","365","+1","93",""
"Stormarn","OD","1.584,64","3.869","","353","","127",""
"Herzogtum Lauenburg","RZ","1.733,17","3.432","","255","","73",""
"Lübeck","HL","1.468,16","3.179","","260","","74",""
"Kiel","KI","1.274,75","3.146","","270","","58",""
"Rendsburg-Eckernförde","RD","885,81","2.428","","204","","35",""
"Ostholstein","OH","1.125,47","2.257","","237","","67",""
"Schleswig-Flensburg","SL","987,29","1.986","","88","","31",""
"Nordfriesland","NF","1.091,89","1.812","","210","","54",""
"Flensburg","FL","1.967,53","1.774","+1","110","","29",""
"Steinburg","IZ","1.147,98","1.504","","141","","20",""
"Neumünster","NMS","1.442,72","1.157","","88","","9",""
"Dithmarschen","HEI","765,06","1.019","","91","","20",""
"Plön","PLO","632,55","814","","106","","18",""
"-"
"Schleswig-Holstein","SH","1.340,19","38.916","+6","3.436","+1","931",""

"Datenstand 04.07.2021 19:20:50"
