"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.261,60","7.149","+24","707","+2","229",""
"Segeberg","SE","1.775,05","4.920","+19","384","","94",""
"Stormarn","OD","1.792,30","4.376","+26","398","+2","129",""
"Kiel","KI","1.647,12","4.065","+30","309","+1","62","+1"
"Herzogtum Lauenburg","RZ","1.960,92","3.883","+8","272","","75",""
"Lübeck","HL","1.742,95","3.774","+26","285","","75",""
"Rendsburg-Eckernförde","RD","1.004,02","2.752","+10","209","","36",""
"Ostholstein","OH","1.235,67","2.478","+11","245","","67",""
"Schleswig-Flensburg","SL","1.102,63","2.218","+3","94","","31",""
"Nordfriesland","NF","1.281,10","2.126","","227","","54",""
"Flensburg","FL","2.334,63","2.105","+5","120","+1","29",""
"Steinburg","IZ","1.351,01","1.770","+10","151","","21",""
"Neumünster","NMS","1.867,92","1.498","+13","104","+1","9",""
"Dithmarschen","HEI","996,30","1.327","+13","107","+1","20",""
"Plön","PLO","815,16","1.049","+9","122","","19",""
"-"
"Schleswig-Holstein","SH","1.566,58","45.490","+207","3.734","+8","950","+1"

"Datenstand 26.08.2021 18:45:42"
