"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.581,76","5.000","+43","479","+4","193",""
"Segeberg","SE","1.297,38","3.596","+27","140","+1","83",""
"Stormarn","OD","1.204,97","2.942","+69","282","+2","110",""
"Herzogtum Lauenburg","RZ","1.369,06","2.711","+43","183","+2","67",""
"Lübeck","HL","1.190,60","2.578","+33","240","","67",""
"Kiel","KI","880,90","2.174","+45","190","+2","48",""
"Rendsburg-Eckernförde","RD","682,60","1.871","+33","156","+2","26","+2"
"Ostholstein","OH","870,15","1.745","+38","201","+2","61","+1"
"Schleswig-Flensburg","SL","852,08","1.714","+26","72","+1","24",""
"Flensburg","FL","1.816,69","1.638","","104","","29",""
"Nordfriesland","NF","891,23","1.479","+18","195","","49","+2"
"Steinburg","IZ","857,17","1.123","+19","82","+2","11",""
"Neumünster","NMS","1.125,99","903","+3","69","+1","8",""
"Dithmarschen","HEI","568,35","757","+23","64","+4","9",""
"Plön","PLO","467,03","601","+11","79","","14",""
"-"
"Schleswig-Holstein","SH","1.061,79","30.832","+431","2.536","+23","799","+5"

"Datenstand 20.04.2021 19:39:24"
