"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","528","546","21","1"
"05-09","585","664","9","0"
"10-14","624","745","15","0"
"15-19","956","999","29","0"
"20-24","1.282","1.316","49","0"
"25-29","1.212","1.218","63","0"
"30-34","1.184","1.324","70","1"
"35-39","1.104","1.205","87","0"
"40-44","1.181","1.065","93","1"
"45-49","1.100","993","106","2"
"50-54","1.244","1.308","137","5"
"55-59","1.191","1.195","166","17"
"60-64","737","838","160","19"
"65-69","430","491","177","33"
"70-74","436","441","222","63"
"75-79","476","430","291","105"
"80-84","759","494","440","193"
"85-89","620","298","283","178"
"90+","657","186","196","191"

"Datenstand 24.04.2021 19:00:56"
