"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.872,49","5.919","+17","617","+1","213",""
"Segeberg","SE","1.502,66","4.165","+10","241","+1","91",""
"Stormarn","OD","1.496,99","3.655","+4","335","","118",""
"Herzogtum Lauenburg","RZ","1.672,57","3.312","+14","225","","69",""
"Lübeck","HL","1.409,97","3.053","+8","258","","74","+1"
"Kiel","KI","1.221,67","3.015","+15","252","+1","53",""
"Rendsburg-Eckernförde","RD","848,60","2.326","+11","193","-1","32",""
"Ostholstein","OH","1.099,04","2.204","+13","236","","65",""
"Schleswig-Flensburg","SL","971,39","1.954","+3","85","+1","30",""
"Flensburg","FL","1.936,47","1.746","","108","","29",""
"Nordfriesland","NF","1.037,05","1.721","+2","206","","52",""
"Steinburg","IZ","1.120,50","1.468","+4","128","-1","17",""
"Neumünster","NMS","1.410,29","1.131","+2","84","-1","9",""
"Dithmarschen","HEI","740,28","986","+1","86","","14","+1"
"Plön","PLO","616,23","793","+5","100","","17",""
"-"
"Schleswig-Holstein","SH","1.289,63","37.448","+109","3.154","+1","883","+2"

"Datenstand 22.05.2021 18:48:28"
