"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.308,74","7.298","+43","718","+3","230","+1"
"Segeberg","SE","1.817,62","5.038","+20","389","","94",""
"Stormarn","OD","1.828,34","4.464","+25","403","+2","133",""
"Kiel","KI","1.719,25","4.243","+34","322","+4","63",""
"Herzogtum Lauenburg","RZ","2.014,45","3.989","+29","271","","75",""
"Lübeck","HL","1.812,22","3.924","+31","287","","75",""
"Rendsburg-Eckernförde","RD","1.022,99","2.804","+12","213","+1","36",""
"Ostholstein","OH","1.259,11","2.525","+12","246","+1","67",""
"Schleswig-Flensburg","SL","1.120,52","2.254","+8","95","","31",""
"Nordfriesland","NF","1.313,04","2.179","+13","231","","55",""
"Flensburg","FL","2.403,40","2.167","+17","120","","29",""
"Steinburg","IZ","1.396,04","1.829","+22","155","","22",""
"Neumünster","NMS","1.930,27","1.548","+7","105","","9",""
"Dithmarschen","HEI","1.050,36","1.399","+21","112","+3","20",""
"Plön","PLO","836,92","1.077","+11","125","+1","19",""
"-"
"Schleswig-Holstein","SH","1.609,56","46.738","+305","3.792","+15","958","+1"

"Datenstand 01.09.2021 19:30:04"
