"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","51","54","6","0"
"05-09","59","58","3","0"
"10-14","81","78","4","0"
"15-19","141","122","5","0"
"20-24","225","241","9","0"
"25-29","229","233","18","0"
"30-34","197","203","18","0"
"35-39","179","160","10","0"
"40-44","172","162","19","0"
"45-49","172","191","26","3"
"50-54","249","238","30","0"
"55-59","220","241","49","6"
"60-64","136","140","46","8"
"65-69","87","98","52","10"
"70-74","82","78","51","18"
"75-79","115","85","92","27"
"80-84","111","105","108","37"
"85-89","76","37","53","26"
"90+","73","24","29","27"

"Datenstand 09.10.2020 20:37:26"
