"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.745,63","5.518","+20","526","+5","196",""
"Segeberg","SE","1.404,17","3.892","+14","168","+3","87",""
"Stormarn","OD","1.368,80","3.342","+22","306","+1","115",""
"Herzogtum Lauenburg","RZ","1.512,99","2.996","+17","201","+2","69",""
"Lübeck","HL","1.276,50","2.764","+13","250","+1","69",""
"Kiel","KI","1.031,63","2.546","+13","217","+4","51","+1"
"Rendsburg-Eckernförde","RD","762,50","2.090","+1","174","","28",""
"Ostholstein","OH","1.000,80","2.007","+5","219","+1","63",""
"Schleswig-Flensburg","SL","923,66","1.858","+1","74","","26",""
"Flensburg","FL","1.896,54","1.710","+2","103","","29",""
"Nordfriesland","NF","957,51","1.589","+5","200","","49",""
"Steinburg","IZ","996,08","1.305","+3","91","","13","+1"
"Neumünster","NMS","1.250,69","1.003","+11","78","+1","8",""
"Dithmarschen","HEI","669,70","892","","77","","11",""
"Plön","PLO","536,97","691","+6","87","+3","14",""
"-"
"Schleswig-Holstein","SH","1.177,88","34.203","+133","2.771","+21","828","+2"

"Datenstand 03.05.2021 19:04:54"
