"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.085,08","6.591","+40","677","","227",""
"Segeberg","SE","1.636,15","4.535","+15","375","","94",""
"Stormarn","OD","1.661,23","4.056","+23","366","+1","129",""
"Herzogtum Lauenburg","RZ","1.800,84","3.566","+24","261","","75",""
"Lübeck","HL","1.585,00","3.432","+25","276","+1","75",""
"Kiel","KI","1.378,88","3.403","+22","279","","59",""
"Rendsburg-Eckernförde","RD","925,58","2.537","+11","206","","35",""
"Ostholstein","OH","1.179,32","2.365","+2","240","","67",""
"Schleswig-Flensburg","SL","1.022,09","2.056","+7","89","+1","31",""
"Nordfriesland","NF","1.166,61","1.936","+10","218","","54",""
"Flensburg","FL","2.071,78","1.868","+18","111","","29",""
"Steinburg","IZ","1.201,41","1.574","+4","145","+1","21",""
"Neumünster","NMS","1.607,31","1.289","+15","95","+1","9",""
"Dithmarschen","HEI","814,61","1.085","+5","94","+1","20",""
"Plön","PLO","692,38","891","+10","109","","18",""
"-"
"Schleswig-Holstein","SH","1.418,29","41.184","+231","3.541","+6","943",""

"Datenstand 05.08.2021 20:48:40"
