"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.408,12","4.427","+72","442","+12","184",""
"Segeberg","SE","1.139,00","3.144","+46","112","+1","78",""
"Stormarn","OD","1.024,28","2.491","+45","254","+8","104",""
"Lübeck","HL","1.066,77","2.317","+30","229","+1","65",""
"Herzogtum Lauenburg","RZ","1.122,35","2.214","+47","170","","65","+1"
"Kiel","KI","729,56","1.806","+48","167","+1","47",""
"Rendsburg-Eckernförde","RD","593,53","1.619","+34","137","","23",""
"Schleswig-Flensburg","SL","785,90","1.572","+17","70","+1","23",""
"Flensburg","FL","1.742,94","1.560","+3","100","","29",""
"Ostholstein","OH","740,35","1.485","+25","189","","59",""
"Nordfriesland","NF","817,49","1.353","+16","185","+3","47",""
"Steinburg","IZ","686,73","902","+19","63","","9",""
"Neumünster","NMS","1.006,45","800","+15","62","+1","8",""
"Dithmarschen","HEI","449,67","599","+6","54","","9",""
"Plön","PLO","384,00","494","+4","74","","13",""
"-"
"Schleswig-Holstein","SH","924,60","26.783","+427","2.308","+28","763","+1"

"Datenstand 07.04.2021 19:55:50"
