"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","530,55","1.668","+45","185","","48",""
"Stormarn","OD","507,00","1.233","+27","69","+1","42",""
"Segeberg","SE","399,59","1.103","+31","85","+1","20",""
"Kiel","KI","317,92","787","+17","110","+1","14",""
"Lübeck","HL","346,23","752","","25","","4",""
"Herzogtum Lauenburg","RZ","368,03","726","+35","59","","19",""
"Rendsburg-Eckernförde","RD","251,12","685","+28","71","+1","15",""
"Nordfriesland","NF","289,41","479","+19","31","","2",""
"Dithmarschen","HEI","340,06","453","+6","62","","12",""
"Schleswig-Flensburg","SL","211,97","424","+5","31","","6",""
"Ostholstein","OH","183,47","368","","26","","1",""
"Steinburg","IZ","251,24","330","+5","34","+1","3",""
"Neumünster","NMS","400,07","318","+8","15","","3",""
"Plön","PLO","193,55","249","+1","48","","8",""
"Flensburg","FL","273,73","245","+6","9","","3",""
"-"
"Schleswig-Holstein","SH","339,01","9.820","+233","860","+5","200",""

"Datenstand 07.11.2020 20:27:49"
