"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","575","589","23","1"
"05-09","640","719","10","0"
"10-14","676","825","15","0"
"15-19","1.032","1.092","29","0"
"20-24","1.350","1.399","57","0"
"25-29","1.286","1.295","66","0"
"30-34","1.245","1.405","80","1"
"35-39","1.171","1.262","92","1"
"40-44","1.244","1.143","107","1"
"45-49","1.157","1.059","117","2"
"50-54","1.309","1.378","145","5"
"55-59","1.248","1.260","180","18"
"60-64","774","876","172","20"
"65-69","445","514","183","34"
"70-74","456","454","231","65"
"75-79","495","441","302","106"
"80-84","767","503","451","196"
"85-89","626","303","287","182"
"90+","663","187","201","194"

"Datenstand 02.05.2021 19:28:03"
