"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.158,79","6.824","+38","690","+1","229",""
"Segeberg","SE","1.683,05","4.665","+21","376","","94",""
"Stormarn","OD","1.707,51","4.169","+26","376","+1","129",""
"Kiel","KI","1.501,66","3.706","+39","291","+2","59",""
"Herzogtum Lauenburg","RZ","1.851,34","3.666","+10","265","+1","75",""
"Lübeck","HL","1.637,65","3.546","","279","","75",""
"Rendsburg-Eckernförde","RD","962,06","2.637","+12","206","","35",""
"Ostholstein","OH","1.198,27","2.403","+7","242","+1","67",""
"Schleswig-Flensburg","SL","1.061,37","2.135","+9","91","+1","31",""
"Nordfriesland","NF","1.216,02","2.018","+12","222","+1","54",""
"Flensburg","FL","2.184,91","1.970","+20","114","+1","29",""
"Steinburg","IZ","1.247,20","1.634","+14","149","","21",""
"Neumünster","NMS","1.694,60","1.359","+12","96","","9",""
"Dithmarschen","HEI","855,15","1.139","+6","96","","20",""
"Plön","PLO","744,45","958","+11","119","+2","18",""
"-"
"Schleswig-Holstein","SH","1.474,94","42.829","+237","3.612","+11","945",""

"Datenstand 13.08.2021 19:36:41"
