"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.254,01","7.125","+22","705","","229",""
"Segeberg","SE","1.768,20","4.901","+29","384","+1","94",""
"Stormarn","OD","1.781,65","4.350","+18","396","+1","129",""
"Kiel","KI","1.634,97","4.035","+34","308","+2","61","+1"
"Herzogtum Lauenburg","RZ","1.956,88","3.875","+28","272","+1","75",""
"Lübeck","HL","1.730,94","3.748","+32","285","","75",""
"Rendsburg-Eckernförde","RD","1.000,37","2.742","+8","209","","36",""
"Ostholstein","OH","1.230,18","2.467","+8","245","","67",""
"Schleswig-Flensburg","SL","1.101,14","2.215","+10","94","+1","31",""
"Nordfriesland","NF","1.281,10","2.126","+16","227","","54",""
"Flensburg","FL","2.329,09","2.100","+9","119","+2","29",""
"Steinburg","IZ","1.343,38","1.760","+12","151","","21",""
"Neumünster","NMS","1.851,71","1.485","+17","103","+1","9",""
"Dithmarschen","HEI","986,54","1.314","+8","106","","20",""
"Plön","PLO","808,17","1.040","+11","122","","19",""
"-"
"Schleswig-Holstein","SH","1.559,45","45.283","+262","3.726","+9","949","+1"

"Datenstand 25.08.2021 19:01:37"
