"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.948,73","6.160","+9","645","+1","221",""
"Segeberg","SE","1.547,76","4.290","+1","337","+3","93",""
"Stormarn","OD","1.571,54","3.837","+1","352","","127",""
"Herzogtum Lauenburg","RZ","1.727,61","3.421","+6","255","+1","73",""
"Lübeck","HL","1.460,77","3.163","+1","260","","74",""
"Kiel","KI","1.265,43","3.123","+3","264","+2","56",""
"Rendsburg-Eckernförde","RD","880,71","2.414","","204","","35",""
"Ostholstein","OH","1.121,98","2.250","+2","237","","67",""
"Schleswig-Flensburg","SL","985,80","1.983","+1","87","","31",""
"Nordfriesland","NF","1.088,27","1.806","","211","+1","54",""
"Flensburg","FL","1.963,09","1.770","+1","110","","29",""
"Steinburg","IZ","1.144,92","1.500","","140","","20","+1"
"Neumünster","NMS","1.432,74","1.149","","86","","9",""
"Dithmarschen","HEI","763,55","1.017","","90","","20",""
"Plön","PLO","628,66","809","","104","","18",""
"-"
"Schleswig-Holstein","SH","1.332,47","38.692","+25","3.382","+8","927","+1"

"Datenstand 18.06.2021 18:56:03"
