"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","87","93","6","0"
"05-09","83","80","1","0"
"10-14","123","123","5","0"
"15-19","255","242","6","0"
"20-24","399","363","11","0"
"25-29","399","339","20","0"
"30-34","330","383","16","0"
"35-39","319","323","23","0"
"40-44","342","247","18","0"
"45-49","361","253","21","1"
"50-54","399","366","28","1"
"55-59","359","321","47","0"
"60-64","256","250","48","4"
"65-69","150","168","45","5"
"70-74","166","192","85","13"
"75-79","213","190","99","27"
"80-84","393","244","177","54"
"85-89","348","144","111","42"
"90+","358","101","87","47"

"Datenstand 27.01.2021 20:17:07"
