"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.904,44","6.020","+9","627","+2","217",""
"Segeberg","SE","1.520,70","4.215","+2","266","+8","91",""
"Stormarn","OD","1.526,48","3.727","","342","","122",""
"Herzogtum Lauenburg","RZ","1.700,85","3.368","+4","233","+1","69",""
"Lübeck","HL","1.434,44","3.106","+4","259","","74",""
"Kiel","KI","1.246,79","3.077","+3","258","+1","55",""
"Rendsburg-Eckernförde","RD","864,65","2.370","+2","201","","35","+1"
"Ostholstein","OH","1.110,51","2.227","","236","","66",""
"Schleswig-Flensburg","SL","977,85","1.967","+2","85","","30",""
"Flensburg","FL","1.954,22","1.762","+2","110","","29",""
"Nordfriesland","NF","1.061,16","1.761","+9","206","-3","53",""
"Steinburg","IZ","1.134,24","1.486","+2","129","+1","19",""
"Neumünster","NMS","1.422,76","1.141","+2","86","","9",""
"Dithmarschen","HEI","753,79","1.004","","88","+1","16","+1"
"Plön","PLO","623,22","802","","100","","17",""
"-"
"Schleswig-Holstein","SH","1.309,78","38.033","+41","3.226","+11","902","+2"

"Datenstand 31.05.2021 18:42:59"
