"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","545","562","22","1"
"05-09","604","680","10","0"
"10-14","644","760","15","0"
"15-19","975","1.030","29","0"
"20-24","1.305","1.342","50","0"
"25-29","1.239","1.248","63","0"
"30-34","1.209","1.358","76","1"
"35-39","1.129","1.236","89","0"
"40-44","1.206","1.093","98","1"
"45-49","1.120","1.010","113","2"
"50-54","1.271","1.335","139","5"
"55-59","1.214","1.216","174","18"
"60-64","752","854","163","19"
"65-69","436","497","176","34"
"70-74","441","446","225","63"
"75-79","485","433","296","106"
"80-84","761","496","445","195"
"85-89","621","302","283","180"
"90+","658","186","199","192"

"Datenstand 27.04.2021 20:42:33"
