"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.025,61","6.403","+20","671","+1","226",""
"Segeberg","SE","1.595,38","4.422","","368","","93",""
"Stormarn","OD","1.625,19","3.968","+9","361","+1","129",""
"Herzogtum Lauenburg","RZ","1.766,50","3.498","+5","259","+1","74",""
"Lübeck","HL","1.528,66","3.310","+8","266","","75",""
"Kiel","KI","1.333,10","3.290","+28","277","","59",""
"Rendsburg-Eckernförde","RD","904,79","2.480","+9","206","","35",""
"Ostholstein","OH","1.156,88","2.320","+7","238","","67",""
"Schleswig-Flensburg","SL","1.003,20","2.018","+1","88","","31",""
"Nordfriesland","NF","1.140,10","1.892","+11","215","+1","54",""
"Flensburg","FL","2.008,56","1.811","+3","111","","29",""
"Steinburg","IZ","1.168,59","1.531","+8","144","","21",""
"Neumünster","NMS","1.521,27","1.220","+4","91","","9",""
"Dithmarschen","HEI","787,58","1.049","+2","91","","20",""
"Plön","PLO","644,98","830","","108","","18",""
"-"
"Schleswig-Holstein","SH","1.378,96","40.042","+115","3.494","+4","940",""

"Datenstand 28.07.2021 18:53:44"
