"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","708","710","37","1"
"05-09","838","894","18","0"
"10-14","859","1.056","21","0"
"15-19","1.251","1.316","38","0"
"20-24","1.593","1.626","82","0"
"25-29","1.477","1.490","94","0"
"30-34","1.445","1.610","113","2"
"35-39","1.373","1.443","127","2"
"40-44","1.408","1.305","140","1"
"45-49","1.358","1.226","152","3"
"50-54","1.469","1.547","201","13"
"55-59","1.405","1.426","243","22"
"60-64","871","1.000","239","25"
"65-69","490","573","221","40"
"70-74","501","503","293","72"
"75-79","526","472","357","121"
"80-84","809","524","504","223"
"85-89","644","316","335","197"
"90+","678","194","234","212"

"Datenstand 13.07.2021 20:49:39"
