"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","309","334","18","0"
"05-09","305","391","5","0"
"10-14","360","425","11","0"
"15-19","635","665","19","0"
"20-24","920","926","30","0"
"25-29","886","864","41","0"
"30-34","840","929","50","1"
"35-39","740","806","64","0"
"40-44","830","710","64","0"
"45-49","810","688","67","2"
"50-54","914","919","99","3"
"55-59","890","861","113","11"
"60-64","536","601","127","17"
"65-69","315","368","134","29"
"70-74","330","349","187","53"
"75-79","391","351","233","89"
"80-84","679","435","396","183"
"85-89","573","266","252","170"
"90+","618","176","180","180"

"Datenstand 25.03.2021 19:35:42"
