"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","620","630","28","1"
"05-09","695","775","12","0"
"10-14","740","892","16","0"
"15-19","1.104","1.160","29","0"
"20-24","1.431","1.473","63","0"
"25-29","1.345","1.357","73","0"
"30-34","1.300","1.476","87","1"
"35-39","1.241","1.314","99","1"
"40-44","1.293","1.193","109","1"
"45-49","1.229","1.102","122","2"
"50-54","1.364","1.420","155","6"
"55-59","1.301","1.324","191","19"
"60-64","809","909","184","20"
"65-69","460","540","189","35"
"70-74","474","474","248","67"
"75-79","506","452","318","111"
"80-84","782","511","463","203"
"85-89","631","307","295","185"
"90+","667","188","209","195"

"Datenstand 10.05.2021 18:57:21"
