"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.475,14","7.824","+33","746","+1","238",""
"Segeberg","SE","1.911,43","5.298","+14","414","","99",""
"Stormarn","OD","1.939,74","4.736","+14","430","","137",""
"Kiel","KI","1.904,42","4.700","+26","352","+4","65",""
"Herzogtum Lauenburg","RZ","2.145,75","4.249","+12","281","","77",""
"Lübeck","HL","1.940,15","4.201","+20","290","","75",""
"Rendsburg-Eckernförde","RD","1.131,35","3.101","+16","224","","37",""
"Ostholstein","OH","1.331,41","2.670","+12","256","+1","68",""
"Schleswig-Flensburg","SL","1.168,74","2.351","+6","100","","31",""
"Nordfriesland","NF","1.387,76","2.303","+5","240","+1","56",""
"Flensburg","FL","2.515,42","2.268","+9","122","","29",""
"Steinburg","IZ","1.483,82","1.944","+4","163","+1","22",""
"Neumünster","NMS","2.136,02","1.713","+24","114","","9",""
"Dithmarschen","HEI","1.172,73","1.562","+7","129","+1","21",""
"Plön","PLO","922,40","1.187","+4","134","+1","21",""
"-"
"Schleswig-Holstein","SH","1.725,58","50.107","+206","3.995","+10","985",""

"Datenstand 21.09.2021 18:53:56"
