"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","349","378","18","1"
"05-09","363","469","6","0"
"10-14","423","498","12","0"
"15-19","697","740","22","0"
"20-24","1.017","1.020","34","0"
"25-29","964","945","48","0"
"30-34","915","1.026","52","1"
"35-39","808","908","73","0"
"40-44","929","796","67","0"
"45-49","879","766","78","2"
"50-54","987","1.014","106","3"
"55-59","958","939","127","12"
"60-64","589","661","131","17"
"65-69","341","401","142","30"
"70-74","365","368","199","56"
"75-79","409","374","245","90"
"80-84","697","445","401","186"
"85-89","590","279","263","174"
"90+","627","176","181","181"

"Datenstand 01.04.2021 19:48:09"
