"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.886,09","5.962","+18","622","+4","215",""
"Segeberg","SE","1.513,48","4.195","+7","253","+4","91",""
"Stormarn","OD","1.516,24","3.702","+9","342","+2","121",""
"Herzogtum Lauenburg","RZ","1.690,75","3.348","+10","226","","69",""
"Lübeck","HL","1.426,59","3.089","+11","259","+1","74",""
"Kiel","KI","1.233,42","3.044","+8","255","","54",""
"Rendsburg-Eckernförde","RD","856,99","2.349","+2","199","","34",""
"Ostholstein","OH","1.104,52","2.215","","236","","65",""
"Schleswig-Flensburg","SL","974,87","1.961","+1","85","","30",""
"Flensburg","FL","1.947,56","1.756","+3","109","","29",""
"Nordfriesland","NF","1.044,89","1.734","+5","206","","53",""
"Steinburg","IZ","1.130,42","1.481","+3","128","","17",""
"Neumünster","NMS","1.420,27","1.139","+2","86","+2","9",""
"Dithmarschen","HEI","752,29","1.002","+1","87","","15",""
"Plön","PLO","619,34","797","","100","","17",""
"-"
"Schleswig-Holstein","SH","1.300,86","37.774","+80","3.193","+13","893",""

"Datenstand 27.05.2021 20:25:44"
