"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","260,19","818","+7","140","","47",""
"Stormarn","OD","247,54","602","+8","56","","35",""
"Kiel","KI","184,21","456","","79","","11",""
"Segeberg","SE","163,39","451","+2","47","","7",""
"Herzogtum Lauenburg","RZ","176,92","349","+5","51","","18",""
"Rendsburg-Eckernförde","RD","124,64","340","+3","51","","14",""
"Lübeck","HL","122,93","267","+4","13","","1",""
"Steinburg","IZ","157,60","207","+1","25","","3",""
"Schleswig-Flensburg","SL","91,99","184","","21","","4",""
"Dithmarschen","HEI","133,62","178","","28","","5",""
"Plön","PLO","124,37","160","+2","36","+1","8",""
"Neumünster","NMS","198,77","158","+4","11","","3",""
"Ostholstein","OH","63,32","127","","15","","0",""
"Nordfriesland","NF","68,88","114","","16","","2",""
"Flensburg","FL","97,20","87","+2","6","","3",""
"-"
"Schleswig-Holstein","SH","155,28","4.498","+38","595","+1","161",""

"Datenstand 22.09.2020 20:25:16"
