"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.385,22","4.355","","430","","184",""
"Segeberg","SE","1.122,33","3.098","+50","111","+4","78","+1"
"Stormarn","OD","1.005,77","2.446","+10","246","+4","104",""
"Lübeck","HL","1.052,96","2.287","+18","228","","65","+1"
"Herzogtum Lauenburg","RZ","1.098,53","2.167","+79","170","+4","64",""
"Kiel","KI","710,17","1.758","+28","166","+6","47","+1"
"Rendsburg-Eckernförde","RD","581,06","1.585","+10","137","","23","+1"
"Flensburg","FL","1.739,59","1.557","+8","100","","29",""
"Schleswig-Flensburg","SL","777,40","1.555","+2","69","","23",""
"Ostholstein","OH","727,89","1.460","+5","189","+2","59",""
"Nordfriesland","NF","807,82","1.337","+2","182","","47",""
"Steinburg","IZ","672,27","883","+7","63","+4","9",""
"Neumünster","NMS","987,58","785","+3","61","","8",""
"Dithmarschen","HEI","445,16","593","+7","54","+3","9",""
"Plön","PLO","380,89","490","+7","74","","13",""
"-"
"Schleswig-Holstein","SH","909,86","26.356","+236","2.280","+27","762","+4"

"Datenstand 06.04.2021 19:55:10"
