"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","812","798","44","1"
"05-09","1.053","1.108","23","0"
"10-14","1.178","1.361","25","0"
"15-19","1.555","1.602","44","0"
"20-24","1.853","1.917","94","0"
"25-29","1.684","1.706","106","0"
"30-34","1.623","1.774","126","2"
"35-39","1.563","1.604","146","2"
"40-44","1.597","1.452","159","1"
"45-49","1.477","1.353","162","3"
"50-54","1.575","1.666","218","15"
"55-59","1.475","1.523","260","22"
"60-64","912","1.058","250","25"
"65-69","522","604","237","42"
"70-74","514","519","298","75"
"75-79","534","484","365","121"
"80-84","822","535","514","224"
"85-89","656","322","343","198"
"90+","691","196","240","214"

"Datenstand 18.08.2021 18:58:15"
