"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.013,90","6.366","+20","670","+1","226",""
"Segeberg","SE","1.589,25","4.405","+6","368","+2","93",""
"Stormarn","OD","1.619,46","3.954","+14","359","+1","128","+1"
"Herzogtum Lauenburg","RZ","1.760,44","3.486","+13","258","","74",""
"Lübeck","HL","1.516,19","3.283","+18","263","","74",""
"Kiel","KI","1.314,46","3.244","+4","273","","58",""
"Rendsburg-Eckernförde","RD","900,41","2.468","+7","206","+1","35",""
"Ostholstein","OH","1.152,89","2.312","","239","","67",""
"Schleswig-Flensburg","SL","1.001,71","2.015","","88","","31",""
"Nordfriesland","NF","1.131,06","1.877","+10","213","","54",""
"Flensburg","FL","2.003,02","1.806","+5","111","","29",""
"Steinburg","IZ","1.157,14","1.516","","142","+1","21","+1"
"Neumünster","NMS","1.507,56","1.209","","91","","9",""
"Dithmarschen","HEI","786,08","1.047","+3","91","","20",""
"Plön","PLO","643,43","828","","108","","18",""
"-"
"Schleswig-Holstein","SH","1.371,18","39.816","+100","3.480","+6","937","+2"

"Datenstand 26.07.2021 19:19:31"
