"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","677","680","33","1"
"05-09","789","863","15","0"
"10-14","828","1.000","21","0"
"15-19","1.201","1.259","34","0"
"20-24","1.536","1.570","72","0"
"25-29","1.425","1.446","83","0"
"30-34","1.389","1.560","102","1"
"35-39","1.333","1.397","112","2"
"40-44","1.373","1.267","125","1"
"45-49","1.319","1.183","146","3"
"50-54","1.443","1.510","185","9"
"55-59","1.375","1.400","219","20"
"60-64","850","971","215","23"
"65-69","485","562","209","40"
"70-74","491","497","270","70"
"75-79","520","471","339","118"
"80-84","799","518","489","214"
"85-89","641","314","318","194"
"90+","674","191","226","204"

"Datenstand 30.05.2021 19:06:52"
