"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","1.002","1.033","55","1"
"05-09","1.449","1.515","31","0"
"10-14","1.658","1.849","34","0"
"15-19","1.892","1.995","52","0"
"20-24","2.181","2.314","112","0"
"25-29","2.037","2.097","149","0"
"30-34","1.980","2.197","170","2"
"35-39","1.872","1.899","189","3"
"40-44","1.897","1.746","187","4"
"45-49","1.717","1.592","181","4"
"50-54","1.799","1.883","258","18"
"55-59","1.653","1.709","303","25"
"60-64","1.019","1.183","279","26"
"65-69","598","677","261","48"
"70-74","565","570","323","80"
"75-79","584","524","394","130"
"80-84","879","582","554","231"
"85-89","707","345","360","205"
"90+","742","208","254","220"

"Datenstand 10.10.2021 19:24:19"
