"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","948","964","51","1"
"05-09","1.332","1.394","26","0"
"10-14","1.501","1.708","30","0"
"15-19","1.803","1.919","52","0"
"20-24","2.090","2.195","105","0"
"25-29","1.935","1.993","135","0"
"30-34","1.872","2.085","159","2"
"35-39","1.783","1.802","171","3"
"40-44","1.809","1.662","181","4"
"45-49","1.645","1.520","175","4"
"50-54","1.726","1.802","242","16"
"55-59","1.592","1.640","285","25"
"60-64","976","1.149","268","26"
"65-69","563","647","254","46"
"70-74","542","542","311","77"
"75-79","558","511","380","126"
"80-84","857","564","538","230"
"85-89","681","337","352","203"
"90+","727","206","252","218"

"Datenstand 18.09.2021 18:46:37"
