"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.535,25","8.014","+26","757","+2","240",""
"Segeberg","SE","1.961,22","5.436","+17","426","","100","+1"
"Stormarn","OD","1.996,26","4.874","+18","441","","137",""
"Kiel","KI","1.969,25","4.860","+23","361","+1","66",""
"Herzogtum Lauenburg","RZ","2.175,55","4.308","+11","283","","77",""
"Lübeck","HL","1.965,09","4.255","+4","292","+1","75",""
"Rendsburg-Eckernförde","RD","1.176,59","3.225","+4","231","","38",""
"Ostholstein","OH","1.349,36","2.706","+5","259","","68",""
"Schleswig-Flensburg","SL","1.190,62","2.395","+7","102","+1","31",""
"Nordfriesland","NF","1.396,80","2.318","+2","243","","56",""
"Flensburg","FL","2.565,33","2.313","+2","123","+1","29",""
"Steinburg","IZ","1.507,48","1.975","+3","169","","22",""
"Neumünster","NMS","2.204,60","1.768","+12","117","+2","9",""
"Dithmarschen","HEI","1.211,02","1.613","+5","131","","21",""
"Plön","PLO","949,60","1.222","+3","141","","21",""
"-"
"Schleswig-Holstein","SH","1.766,05","51.282","+142","4.076","+8","990","+1"

"Datenstand 30.09.2021 19:37:35"
