"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.717,47","8.590","+15","798","+1","242","+1"
"Segeberg","SE","2.119,60","5.875","+15","461","+1","102","+1"
"Stormarn","OD","2.205,15","5.384","+45","468","+1","141",""
"Kiel","KI","2.140,25","5.282","+12","386","+2","68","+1"
"Herzogtum Lauenburg","RZ","2.313,41","4.581","+49","295","","80",""
"Lübeck","HL","2.083,31","4.511","+33","297","","75",""
"Rendsburg-Eckernförde","RD","1.288,59","3.532","+19","236","","43",""
"Ostholstein","OH","1.427,15","2.862","+7","263","+1","67",""
"Schleswig-Flensburg","SL","1.261,71","2.538","+4","108","","32",""
"Nordfriesland","NF","1.479,95","2.456","+14","254","","57",""
"Flensburg","FL","2.708,40","2.442","+5","127","","29",""
"Steinburg","IZ","1.594,50","2.089","+6","175","","28",""
"Neumünster","NMS","2.404,11","1.928","+8","128","+1","10",""
"Dithmarschen","HEI","1.296,61","1.727","+2","144","","23",""
"Plön","PLO","1.045,18","1.345","+18","149","+1","22",""
"-"
"Schleswig-Holstein","SH","1.898,98","55.142","+252","4.289","+8","1.019","+3"

"Datenstand 25.10.2021 19:10:50"
