"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.079,87","3.395","+23","358","+3","177",""
"Segeberg","SE","748,46","2.066","+24","84","","64",""
"Lübeck","HL","859,12","1.866","+6","210","","64",""
"Stormarn","OD","757,82","1.843","+11","211","","95",""
"Herzogtum Lauenburg","RZ","816,67","1.611","","143","","59",""
"Schleswig-Flensburg","SL","658,92","1.318","+8","60","+1","21",""
"Kiel","KI","530,81","1.314","+2","124","+3","40",""
"Flensburg","FL","1.432,34","1.282","+6","77","+1","24",""
"Nordfriesland","NF","731,09","1.210","+2","168","-1","43",""
"Ostholstein","OH","599,76","1.203","","168","","55",""
"Rendsburg-Eckernförde","RD","429,66","1.172","+3","113","","21",""
"Steinburg","IZ","454,52","597","","47","","7",""
"Neumünster","NMS","699,49","556","","49","","7",""
"Dithmarschen","HEI","307,78","410","+1","38","","7",""
"Plön","PLO","305,49","393","+1","64","","12",""
"-"
"Schleswig-Holstein","SH","698,59","20.236","+87","1.914","+7","696",""

"Datenstand 14.03.2021 20:13:33"
