"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","58","59","6","0"
"05-09","66","62","3","0"
"10-14","89","92","4","0"
"15-19","154","138","5","0"
"20-24","240","263","9","0"
"25-29","243","260","18","0"
"30-34","215","226","20","0"
"35-39","194","180","10","1"
"40-44","184","175","19","0"
"45-49","187","206","26","3"
"50-54","266","254","34","0"
"55-59","237","263","52","6"
"60-64","152","150","47","8"
"65-69","90","102","52","10"
"70-74","88","82","52","18"
"75-79","120","88","95","27"
"80-84","116","109","109","37"
"85-89","76","39","54","26"
"90+","73","24","29","27"

"Datenstand 17.10.2020 19:25:57"
