"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","766","754","42","1"
"05-09","952","1.008","20","0"
"10-14","1.025","1.203","23","0"
"15-19","1.446","1.496","41","0"
"20-24","1.753","1.817","90","0"
"25-29","1.594","1.623","100","0"
"30-34","1.549","1.712","120","2"
"35-39","1.484","1.537","138","2"
"40-44","1.519","1.385","154","1"
"45-49","1.420","1.299","160","3"
"50-54","1.525","1.610","208","15"
"55-59","1.447","1.479","254","22"
"60-64","895","1.031","245","25"
"65-69","511","591","231","42"
"70-74","506","509","294","75"
"75-79","530","474","359","121"
"80-84","818","534","511","224"
"85-89","652","320","341","198"
"90+","688","195","238","213"

"Datenstand 09.08.2021 18:38:00"
