"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","1.077","1.140","57","1"
"05-09","1.646","1.723","32","0"
"10-14","1.872","2.071","39","0"
"15-19","2.032","2.142","56","0"
"20-24","2.324","2.456","122","0"
"25-29","2.168","2.227","159","0"
"30-34","2.158","2.357","183","3"
"35-39","2.063","2.059","198","4"
"40-44","2.050","1.892","196","4"
"45-49","1.863","1.725","191","4"
"50-54","1.958","2.046","272","18"
"55-59","1.769","1.811","309","25"
"60-64","1.105","1.261","292","28"
"65-69","647","726","272","50"
"70-74","607","608","342","84"
"75-79","632","554","408","131"
"80-84","937","627","583","238"
"85-89","756","359","374","211"
"90+","790","217","265","226"

"Datenstand 29.10.2021 19:24:26"
