"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.205,29","6.971","+46","694","+2","229",""
"Segeberg","SE","1.719,85","4.767","+33","382","+4","94",""
"Stormarn","OD","1.740,69","4.250","+16","382","+2","129",""
"Kiel","KI","1.553,12","3.833","+26","296","+1","59",""
"Herzogtum Lauenburg","RZ","1.900,32","3.763","+19","266","","75",""
"Lübeck","HL","1.671,36","3.619","+11","282","+2","75",""
"Rendsburg-Eckernförde","RD","978,12","2.681","+12","208","+2","35",""
"Ostholstein","OH","1.211,73","2.430","+10","244","+1","67",""
"Schleswig-Flensburg","SL","1.078,27","2.169","+6","93","","31",""
"Nordfriesland","NF","1.238,32","2.055","+9","224","","54",""
"Flensburg","FL","2.264,76","2.042","+15","114","","29",""
"Steinburg","IZ","1.293,76","1.695","+27","150","","21",""
"Neumünster","NMS","1.738,24","1.394","+12","99","+1","9",""
"Dithmarschen","HEI","909,96","1.212","+35","101","+1","20",""
"Plön","PLO","762,32","981","+3","120","","18",""
"-"
"Schleswig-Holstein","SH","1.510,52","43.862","+280","3.655","+16","945",""

"Datenstand 18.08.2021 18:58:15"
