"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.877,55","5.935","+5","618","","215",""
"Segeberg","SE","1.508,79","4.182","+6","244","+3","91",""
"Stormarn","OD","1.506,00","3.677","+3","339","+2","119","+1"
"Herzogtum Lauenburg","RZ","1.674,08","3.315","","225","","69",""
"Lübeck","HL","1.420,13","3.075","+12","258","","74",""
"Kiel","KI","1.226,12","3.026","+1","255","+2","54",""
"Rendsburg-Eckernförde","RD","853,34","2.339","+5","198","+3","33","+1"
"Ostholstein","OH","1.100,04","2.206","","236","","65",""
"Schleswig-Flensburg","SL","972,38","1.956","+2","85","","30",""
"Flensburg","FL","1.939,80","1.749","+1","108","","29",""
"Nordfriesland","NF","1.041,87","1.729","-1","206","","52",""
"Steinburg","IZ","1.126,61","1.476","","128","","17",""
"Neumünster","NMS","1.416,53","1.136","+2","84","","9",""
"Dithmarschen","HEI","744,78","992","","87","+1","15","+1"
"Plön","PLO","617,78","795","","100","","17",""
"-"
"Schleswig-Holstein","SH","1.294,45","37.588","+36","3.171","+11","889","+3"

"Datenstand 25.05.2021 19:10:24"
