"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","789,78","2.483","+62","237","+11","97","+7"
"Lübeck","HL","585,64","1.272","+60","159","+7","25","+3"
"Segeberg","SE","447,77","1.236","+8","53","","46","+2"
"Stormarn","OD","436,27","1.061","+20","116","+3","24",""
"Herzogtum Lauenburg","RZ","449,65","887","+31","47","+6","24","+1"
"Nordfriesland","NF","479,74","794","+4","130","+1","27",""
"Kiel","KI","319,13","790","+11","94","","28","+1"
"Ostholstein","OH","391,86","786","+26","135","+4","22",""
"Flensburg","FL","736,28","659","+18","28","+1","13","+1"
"Rendsburg-Eckernförde","RD","241,22","658","+6","72","","12",""
"Schleswig-Flensburg","SL","314,46","629","+13","33","+1","14",""
"Steinburg","IZ","286,26","376","+7","22","","2",""
"Neumünster","NMS","449,13","357","","32","","6",""
"Dithmarschen","HEI","225,96","301","+3","16","","6",""
"Plön","PLO","177,23","228","+1","47","","6","+1"
"-"
"Schleswig-Holstein","SH","432,11","12.517","+270","1.221","+34","352","+16"

"Datenstand 05.02.2021 20:05:15"
