"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","283","314","15","0"
"05-09","283","358","5","0"
"10-14","335","391","10","0"
"15-19","600","638","19","0"
"20-24","875","873","28","0"
"25-29","837","819","41","0"
"30-34","807","877","47","1"
"35-39","708","759","58","0"
"40-44","783","654","62","0"
"45-49","774","638","60","1"
"50-54","864","867","92","3"
"55-59","839","809","113","10"
"60-64","512","570","124","17"
"65-69","300","355","130","27"
"70-74","316","339","180","51"
"75-79","382","344","228","85"
"80-84","674","424","385","179"
"85-89","567","265","248","167"
"90+","615","176","180","180"

"Datenstand 21.03.2021 20:27:31"
