"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","969","984","52","1"
"05-09","1.382","1.442","27","0"
"10-14","1.564","1.767","32","0"
"15-19","1.830","1.943","52","0"
"20-24","2.127","2.237","108","0"
"25-29","1.961","2.020","138","0"
"30-34","1.906","2.131","163","2"
"35-39","1.815","1.839","181","3"
"40-44","1.835","1.695","183","4"
"45-49","1.677","1.540","177","4"
"50-54","1.745","1.824","249","18"
"55-59","1.605","1.667","292","25"
"60-64","994","1.160","271","26"
"65-69","574","658","256","47"
"70-74","548","548","316","78"
"75-79","566","513","386","126"
"80-84","861","568","543","231"
"85-89","684","337","351","204"
"90+","729","207","253","218"

"Datenstand 25.09.2021 18:51:33"
