"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","859","862","48","1"
"05-09","1.156","1.213","25","0"
"10-14","1.299","1.506","27","0"
"15-19","1.644","1.696","47","0"
"20-24","1.947","2.033","98","0"
"25-29","1.781","1.801","111","0"
"30-34","1.708","1.875","132","2"
"35-39","1.638","1.675","154","2"
"40-44","1.681","1.520","169","1"
"45-49","1.528","1.416","166","3"
"50-54","1.631","1.713","228","15"
"55-59","1.512","1.564","271","24"
"60-64","939","1.088","256","25"
"65-69","537","618","241","43"
"70-74","520","524","299","75"
"75-79","542","494","369","123"
"80-84","831","541","518","227"
"85-89","661","326","347","199"
"90+","703","200","245","216"

"Datenstand 29.08.2021 18:47:59"
