"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","490","501","20","1"
"05-09","518","602","9","0"
"10-14","553","657","14","0"
"15-19","890","916","26","0"
"20-24","1.216","1.231","47","0"
"25-29","1.151","1.148","61","0"
"30-34","1.114","1.247","66","1"
"35-39","1.014","1.135","79","0"
"40-44","1.111","990","88","1"
"45-49","1.032","942","98","2"
"50-54","1.172","1.230","129","3"
"55-59","1.131","1.135","157","16"
"60-64","702","797","148","19"
"65-69","413","469","163","33"
"70-74","416","428","215","60"
"75-79","460","412","283","99"
"80-84","743","486","429","192"
"85-89","616","290","282","177"
"90+","652","184","195","190"

"Datenstand 19.04.2021 18:33:13"
