"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","816,18","2.566","+35","250","+9","106","+7"
"Lübeck","HL","613,27","1.332","+30","167","+3","31","+3"
"Segeberg","SE","454,30","1.254","+3","54","+1","51","+5"
"Stormarn","OD","460,53","1.120","+10","117","+1","29","+5"
"Herzogtum Lauenburg","RZ","477,53","942","+11","53","+4","24",""
"Ostholstein","OH","415,29","833","+22","142","+6","24","+1"
"Nordfriesland","NF","502,09","831","+9","137","+5","29","+1"
"Kiel","KI","330,44","818","+2","96","+1","28",""
"Flensburg","FL","775,38","694","+13","35","+2","14",""
"Schleswig-Flensburg","SL","339,46","679","+4","37","+2","14",""
"Rendsburg-Eckernförde","RD","247,46","675","+7","76","+2","12",""
"Steinburg","IZ","293,88","386","+2","23","+1","2",""
"Neumünster","NMS","468,00","372","+2","32","","6",""
"Dithmarschen","HEI","229,71","306","+1","16","","6",""
"Plön","PLO","181,89","234","","47","","6",""
"-"
"Schleswig-Holstein","SH","450,23","13.042","+151","1.282","+37","382","+22"

"Datenstand 08.02.2021 21:40:46"
