"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","136","14","7"
"02.01.2021","263","35","25"
"03.01.2021","201","37","10"
"04.01.2021","260","35","15"
"05.01.2021","538","55","12"
"06.01.2021","532","44","22"
"07.01.2021","478","32","13"
"08.01.2021","523","43","18"
"09.01.2021","405","34","13"
"10.01.2021","141","19","13"
"11.01.2021","258","45","14"
"12.01.2021","403","48","15"
"13.01.2021","489","50","18"
"14.01.2021","421","41","13"
"15.01.2021","412","59","17"
"16.01.2021","352","33","18"
"17.01.2021","201","24","8"
"18.01.2021","238","27","9"
"19.01.2021","469","48","25"
"20.01.2021","483","46","16"
"21.01.2021","497","49","22"
"22.01.2021","460","41","26"
"23.01.2021","439","40","11"
"24.01.2021","156","24","9"
"25.01.2021","163","36","16"
"26.01.2021","544","44","16"
"27.01.2021","463","48","20"
"28.01.2021","383","45","14"
"29.01.2021","346","45","28"
"30.01.2021","260","20","5"
"31.01.2021","179","18","7"
"01.02.2021","129","21","5"
"02.02.2021","362","33","11"
"03.02.2021","339","28","7"
"04.02.2021","327","42","6"
"05.02.2021","261","23","4"
"06.02.2021","268","18","5"
"07.02.2021","106","14","0"
"08.02.2021","135","29","5"
"09.02.2021","312","14","2"
"10.02.2021","335","19","4"
"11.02.2021","357","23","2"
"12.02.2021","227","15","0"
"13.02.2021","190","8","1"
"14.02.2021","115","10","0"
"15.02.2021","142","9","1"
"16.02.2021","248","12","1"
"17.02.2021","245","10","0"
"18.02.2021","256","15","0"
"19.02.2021","272","9","0"
"20.02.2021","202","3","0"

"Datenstand 20.02.2021 20:15:12"
