"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.224,27","3.849","+51","392","+2","180",""
"Segeberg","SE","910,04","2.512","+69","98","","74",""
"Stormarn","OD","885,71","2.154","+54","229","+1","103",""
"Lübeck","HL","943,38","2.049","+9","215","+1","64",""
"Herzogtum Lauenburg","RZ","940,87","1.856","+41","155","","64","+2"
"Kiel","KI","609,17","1.508","+23","142","+4","43",""
"Schleswig-Flensburg","SL","730,41","1.461","+19","66","+1","23","+1"
"Flensburg","FL","1.586,52","1.420","+21","92","+3","28",""
"Rendsburg-Eckernförde","RD","500,78","1.366","+21","125","-1","21",""
"Ostholstein","OH","657,59","1.319","+8","181","","57",""
"Nordfriesland","NF","771,57","1.277","+3","176","","46","+1"
"Steinburg","IZ","540,55","710","+21","52","+2","7",""
"Neumünster","NMS","851,71","677","+16","55","","7",""
"Dithmarschen","HEI","381,35","508","+2","42","","9",""
"Plön","PLO","343,58","442","+8","72","+1","12",""
"-"
"Schleswig-Holstein","SH","797,73","23.108","+366","2.092","+14","738","+4"

"Datenstand 25.03.2021 19:35:42"
