"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","403,32","1.268","+27","163","+1","48","+1"
"Stormarn","OD","402,56","979","+27","63","+1","36","+1"
"Segeberg","SE","302,86","836","+50","61","+1","7",""
"Kiel","KI","250,05","619","+18","94","+3","12",""
"Herzogtum Lauenburg","RZ","275,77","544","+25","57","","18",""
"Lübeck","HL","244,94","532","+45","21","","2",""
"Rendsburg-Eckernförde","RD","189,17","516","+13","65","","14",""
"Dithmarschen","HEI","276,26","368","+3","53","+1","9","+1"
"Schleswig-Flensburg","SL","164,48","329","+15","27","+2","5",""
"Steinburg","IZ","220,03","289","+6","30","","3",""
"Ostholstein","OH","142,59","286","+12","22","+2","0",""
"Nordfriesland","NF","162,53","269","+18","26","","2",""
"Neumünster","NMS","319,55","254","+7","15","","3",""
"Plön","PLO","164,79","212","+8","41","","8",""
"Flensburg","FL","221,22","198","+6","9","","3",""
"-"
"Schleswig-Holstein","SH","258,88","7.499","+280","747","+11","170","+3"

"Datenstand 28.10.2020 21:37:38"
