"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","835","818","45","1"
"05-09","1.103","1.162","25","0"
"10-14","1.223","1.420","27","0"
"15-19","1.595","1.637","45","0"
"20-24","1.896","1.961","95","0"
"25-29","1.729","1.741","108","0"
"30-34","1.656","1.812","129","2"
"35-39","1.586","1.633","148","2"
"40-44","1.626","1.473","164","1"
"45-49","1.499","1.381","165","3"
"50-54","1.603","1.686","224","15"
"55-59","1.491","1.537","263","23"
"60-64","924","1.067","252","25"
"65-69","527","612","239","42"
"70-74","517","521","298","75"
"75-79","538","488","368","122"
"80-84","825","539","515","224"
"85-89","660","323","345","198"
"90+","693","199","243","215"

"Datenstand 23.08.2021 18:33:10"
