"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","31","40","4","0"
"05-09","48","48","3","0"
"10-14","56","57","4","0"
"15-19","98","80","5","0"
"20-24","163","162","7","0"
"25-29","184","174","17","0"
"30-34","154","160","15","0"
"35-39","154","126","10","0"
"40-44","143","136","15","0"
"45-49","140","157","22","3"
"50-54","214","197","25","0"
"55-59","198","209","49","6"
"60-64","116","113","43","8"
"65-69","80","87","50","10"
"70-74","73","72","49","18"
"75-79","104","81","89","26"
"80-84","105","95","102","37"
"85-89","69","35","48","26"
"90+","72","21","28","27"

"Datenstand 14.09.2020 20:27:33"
