"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","707","706","35","1"
"05-09","832","892","18","0"
"10-14","854","1.054","21","0"
"15-19","1.236","1.307","36","0"
"20-24","1.571","1.605","80","0"
"25-29","1.471","1.476","93","0"
"30-34","1.439","1.600","112","2"
"35-39","1.365","1.435","125","2"
"40-44","1.404","1.300","138","1"
"45-49","1.350","1.216","152","3"
"50-54","1.467","1.543","201","12"
"55-59","1.397","1.424","243","22"
"60-64","861","994","237","24"
"65-69","490","570","220","40"
"70-74","501","503","293","72"
"75-79","525","472","356","121"
"80-84","807","524","503","222"
"85-89","643","316","335","197"
"90+","678","194","234","212"

"Datenstand 02.07.2021 18:48:40"
