"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","925","941","50","1"
"05-09","1.278","1.332","26","0"
"10-14","1.426","1.634","27","0"
"15-19","1.756","1.841","51","0"
"20-24","2.044","2.147","102","0"
"25-29","1.888","1.933","130","0"
"30-34","1.832","2.014","152","2"
"35-39","1.733","1.757","164","3"
"40-44","1.773","1.606","177","4"
"45-49","1.603","1.497","173","4"
"50-54","1.695","1.769","237","16"
"55-59","1.563","1.613","279","25"
"60-64","967","1.126","262","25"
"65-69","555","633","247","45"
"70-74","530","535","308","77"
"75-79","553","504","377","123"
"80-84","847","554","528","227"
"85-89","670","329","350","201"
"90+","712","204","247","217"

"Datenstand 10.09.2021 18:54:52"
