"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","137","14","7"
"02.01.2021","261","32","21"
"03.01.2021","202","37","8"
"04.01.2021","260","34","12"
"05.01.2021","538","53","10"
"06.01.2021","532","37","16"
"07.01.2021","478","31","11"
"08.01.2021","523","41","15"
"09.01.2021","407","33","9"
"10.01.2021","141","17","10"
"11.01.2021","259","45","9"
"12.01.2021","399","42","9"
"13.01.2021","491","42","9"
"14.01.2021","421","36","11"
"15.01.2021","412","57","9"
"16.01.2021","354","29","9"
"17.01.2021","202","22","3"
"18.01.2021","239","23","3"
"19.01.2021","468","37","11"
"20.01.2021","483","40","6"
"21.01.2021","501","36","6"
"22.01.2021","459","28","6"
"23.01.2021","442","32","2"
"24.01.2021","155","16","3"
"25.01.2021","161","26","3"
"26.01.2021","540","18","2"
"27.01.2021","472","27","2"
"28.01.2021","386","24","1"
"29.01.2021","284","11","0"

"Datenstand 29.01.2021 20:09:11"
