"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","382,64","1.203","+10","159","+1","47",""
"Stormarn","OD","377,06","917","+51","62","","35",""
"Segeberg","SE","265,91","734","+20","59","+1","7",""
"Kiel","KI","236,32","585","+3","90","+1","12",""
"Rendsburg-Eckernförde","RD","178,54","487","+8","64","+1","14",""
"Lübeck","HL","223,30","485","+26","18","","2",""
"Herzogtum Lauenburg","RZ","244,34","482","+7","55","+1","18",""
"Dithmarschen","HEI","263,49","351","+2","50","","8",""
"Schleswig-Flensburg","SL","150,48","301","+9","23","","5",""
"Steinburg","IZ","208,61","274","+7","29","+1","3",""
"Ostholstein","OH","130,62","262","+1","20","","0",""
"Neumünster","NMS","305,71","243","+2","15","","3",""
"Nordfriesland","NF","138,97","230","+7","24","+1","2",""
"Plön","PLO","156,24","201","+7","40","","8",""
"Flensburg","FL","207,81","186","+4","9","","3",""
"-"
"Schleswig-Holstein","SH","239,62","6.941","+164","717","+7","167",""

"Datenstand 26.10.2020 20:05:48"
