"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.126,94","3.543","+40","379","+4","178",""
"Segeberg","SE","814,04","2.247","+34","88","-1","68","+2"
"Stormarn","OD","799,36","1.944","+39","220","+2","101",""
"Lübeck","HL","889,97","1.933","+24","213","+2","64",""
"Herzogtum Lauenburg","RZ","866,86","1.710","+26","153","+1","61",""
"Kiel","KI","559,08","1.384","+16","130","+3","41",""
"Schleswig-Flensburg","SL","686,91","1.374","+9","63","+2","21",""
"Flensburg","FL","1.483,73","1.328","+17","82","+1","27","+2"
"Ostholstein","OH","627,18","1.258","+18","174","+1","57",""
"Nordfriesland","NF","754,05","1.248","+6","174","+2","44",""
"Rendsburg-Eckernförde","RD","454,95","1.241","+23","120","+2","21",""
"Steinburg","IZ","474,32","623","+5","49","","7",""
"Neumünster","NMS","777,49","618","+14","55","","7",""
"Dithmarschen","HEI","337,06","449","+13","38","","7",""
"Plön","PLO","321,81","414","+4","69","+2","12",""
"-"
"Schleswig-Holstein","SH","735,80","21.314","+288","2.007","+21","716","+4"

"Datenstand 18.03.2021 20:07:48"
