"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","1.010","1.046","55","1"
"05-09","1.470","1.536","31","0"
"10-14","1.677","1.871","35","0"
"15-19","1.915","2.010","54","0"
"20-24","2.205","2.340","117","0"
"25-29","2.057","2.124","153","0"
"30-34","2.007","2.222","172","2"
"35-39","1.902","1.917","194","4"
"40-44","1.918","1.757","188","4"
"45-49","1.735","1.615","181","4"
"50-54","1.822","1.904","260","18"
"55-59","1.679","1.722","304","25"
"60-64","1.027","1.189","281","27"
"65-69","601","685","266","50"
"70-74","569","574","327","80"
"75-79","589","527","396","130"
"80-84","888","585","557","231"
"85-89","715","346","365","208"
"90+","751","211","255","221"

"Datenstand 14.10.2021 19:05:37"
