"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","304,40","957","+12","146","","47",""
"Stormarn","OD","293,59","714","+6","60","","35",""
"Segeberg","SE","200,34","553","+7","50","","7",""
"Kiel","KI","197,94","490","+2","80","","12",""
"Rendsburg-Eckernförde","RD","145,17","396","+5","55","","14",""
"Herzogtum Lauenburg","RZ","198,21","391","+9","53","","18",""
"Lübeck","HL","157,92","343","+3","15","","2","+1"
"Dithmarschen","HEI","190,68","254","+2","36","","5",""
"Steinburg","IZ","185,01","243","+3","25","","3",""
"Schleswig-Flensburg","SL","106,99","214","","21","","4",""
"Neumünster","NMS","245,32","195","+8","13","","3",""
"Plön","PLO","136,03","175","+2","36","","8",""
"Ostholstein","OH","82,26","165","+4","19","+1","0",""
"Nordfriesland","NF","96,67","160","+2","19","","2",""
"Flensburg","FL","156,42","140","","9","","3",""
"-"
"Schleswig-Holstein","SH","186,07","5.390","+65","637","+1","163","+1"

"Datenstand 13.10.2020 19:55:15"
